country,vil_id,rain,average,pop,dist,nomkt,vdsa_hh_id,tot_acre,genderH,ageH,noadultM,noadultF,nokids,sizehh,farm_cat,aindex,lindex,prcl_id,sur_yr,plot_area,output,price,value,lab_q,fert_q,irr_q,mech_v,pest_v
India,135,,,876,12,2,135008,0,0,43,3,1,0,4,SM,-.27804729,-.41959643,135008016,2013,1.618744015693665,2800,13.5,37800,234,500,4,10597.25,0
India,119,,,3600,5,4,119035,1.22,0,62,2,3,1,6,SM,-.22664489,-.40009475,119035032,2012,.101171500980854,280,13.5,3780,30.35,31,5.5,590,0
India,135,,,876,12,2,135203,0,0,48,3,5,0,8,SM,-.36013669,-1.0387695,135203040,2013,.8093720078468323,1000,13,13000,113,150,2,4200,0
India,119,,,3600,5,4,119039,1.0700001,0,52,2,3,1,6,SM,-1.3781406,-.41959643,119039032,2012,.0607029013335705,120,13.5,1620,17.68,16,2,327,0
India,134,,,1427,9,1,134047,0,0,58,1,2,3,6,MD,1.4558045,-.62933052,134047104,2013,.8093720078468323,1650,14.5,23925,66,250,2,3819.989990234375,0
India,119,,,3600,5,4,119035,1.22,0,62,2,3,1,6,SM,-.22664489,-.40009475,119035096,2012,.044515460729599,130,13.5,1755,25.4,34,6,377,0
India,119,,,3600,5,4,119038,.73000002,0,62,4,4,0,8,SM,-1.2449617,-.43117386,119038008,2012,.0809372067451477,170,13.5,2295,24.93,22,3.75,382,0
India,135,,,876,12,2,135203,3.5,0,47,3,5,0,8,SM,-.086746134,-1.0387695,135203040,2012,.8093720078468323,1800,14.11,25398,148,200,2,4400,0
India,135,,,876,12,2,135008,4,0,42,2,1,1,4,SM,-.27804729,-.7389338,135008016,2012,1.618744015693665,3800,14.9,56620,306,600,4,10850,0
India,137,,,880,13,2,137032,0,0,51,1,2,3,6,SM,.45063931,-.82247257,137032016,2013,.8093720078468323,1000,15,15000,133,115,0,4650,0
India,119,,,3600,5,4,119035,1.22,0,62,2,3,1,6,SM,-.22664489,-.40009475,119035072,2012,.0526091828942299,130,13.5,1755,15.15,20.5,2,235.0999984741211,0
India,131,,,2537,25,1,131058,11,0,66,1,2,0,3,LA,-.37224385,-1.0387695,131058048,2009,.2023430019617081,100,14,1400,48,35,0,0,0
India,118,,,3000,4.5,4,118030,1.1,0,77,3,4,0,7,SM,-.87741542,.19957668,118030032,2012,.0971246436238289,400,13.6,5440,9.1999998,42,5.5,600,0
India,119,,,3600,5,4,119039,1.0700001,0,52,2,3,1,6,SM,-1.3781406,-.41959643,119039088,2012,.0283280201256275,50,13.5,675,11.08,9,1,149,0
India,118,,,3000,4.5,4,118030,1.1,0,77,3,4,0,7,SM,-.87741542,.19957668,118030008,2012,.1982961446046829,720,13.6,9792,14,64,7.5,1372,0
India,121,,,4500,9,1,121002,0,0,41,1,3,1,5,LB,-.38435102,-.73100954,121002008,2013,.2023430019617081,610,15,9150,113,95,0,740,0
India,119,,,3600,5,4,119035,1.22,0,62,2,3,1,6,SM,-.22664489,-.40009475,119035008,2012,.121405802667141,300,13.5,4050,35.150002,45,6,888,0
India,120,,,4494,15,4,120048,1.8,0,65,1,2,2,5,MD,.71905476,-.13926236,120048056,2012,.121405802667141,300,12,3600,26.5,29,4,564,0
India,119,,,3600,5,4,119039,1.0700001,0,52,2,3,1,6,SM,-1.3781406,-.41959643,119039056,2012,.121405802667141,250,13.5,3375,21.700001,28,5,654,0
India,121,,,4500,9,1,121005,0,0,29,1,3,0,4,LB,-.99679643,-.41959643,121005008,2013,.2023430019617081,620,15,9300,124,82,0,747.5,0
India,120,,,4494,15,4,120048,1.8,0,65,1,2,2,5,MD,.71905476,-.13926236,120048072,2012,.101171500980854,250,12,3000,20.5,22,1.5,220,0
India,119,,,3600,5,4,119049,.98000002,0,45,2,4,2,8,MD,.1638474,-1.0387695,119049008,2012,.0404686033725739,110,13.5,1485,12.65,16,1.850000023841858,245,0
India,119,,,3600,5,4,119038,.73000002,0,62,4,4,0,8,SM,-1.2449617,-.43117386,119038032,2012,.0283280201256275,60,13.5,810,10.24,9,1.5,158,0
India,121,,,4500,9,1,121049,0,0,52,2,3,1,6,MD,-1.3155888,-.52263689,121049008,2013,.4046860039234161,1120,15,16800,197,190,0,1475,0
India,121,,,4500,9,1,121049,0,0,52,2,3,1,6,MD,-1.3155888,-.52263689,121049056,2013,.2023430019617081,730,15,10950,127,90,0,745,0
India,120,,,4494,15,4,120048,1.8,0,65,1,2,2,5,MD,.71905476,-.13926236,120048032,2012,.121405802667141,300,12,3600,27,29,4,564,0
India,119,,,3600,5,4,119039,1.0700001,0,52,2,3,1,6,SM,-1.3781406,-.41959643,119039072,2012,.1618744134902954,240,13.5,3240,45.900002,44,5.5,800,0
India,119,,,3600,5,4,119049,.98000002,0,45,2,4,2,8,MD,.1638474,-1.0387695,119049120,2012,.0809372067451477,200,13.5,2700,25.549999,36,4.5,490,0
India,119,,,3600,5,4,119049,.98000002,0,45,2,4,2,8,MD,.1638474,-1.0387695,119049112,2012,.0364217385649681,100,13.5,1350,13.91,18,2.25,243,0
India,135,,,876,12,2,135033,2,0,41,1,2,0,3,SM,-.041344263,-1.0387695,135033056,2012,.6070290207862854,1210,15,18150,62,175,1.5,3675,0
